[2017-09-18 17:43:14.626] 176 main.cpp:561 start
[2017-09-18 17:43:18.277] 176 main.cpp:561 start
[2017-09-25 15:00:11.298] 176 main.cpp:561 start
[2017-09-25 15:00:13.820] 176 main.cpp:561 start
[2017-09-25 15:01:21.003] 176 main.cpp:561 start
[2017-09-26 17:00:01.921] 176 main.cpp:561 start
[2017-09-26 17:39:14.565] 176 main.cpp:561 start
[2017-09-26 17:40:49.715] 176 main.cpp:561 start
[2017-10-09 11:14:47.661] 176 main.cpp:561 start
[2017-10-09 11:18:05.323] 292 aos_transport.c:445 transport failure curl code:28 error:a timeout was reached
[2017-10-09 12:19:56.755] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.012] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.014] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.014] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.016] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.016] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.018] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.018] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.020] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.020] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.022] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.022] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.023] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.023] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.025] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.025] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.027] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.027] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.029] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.029] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.031] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.031] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.033] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.033] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.034] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.034] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.047] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.047] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.049] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.049] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.051] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.051] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.062] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.062] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.065] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.065] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.066] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.066] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.078] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.078] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.080] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.081] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.082] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.083] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.084] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.084] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.086] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.086] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.088] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.088] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.090] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.090] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.092] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.092] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.094] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.094] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.096] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.096] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.097] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.097] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.099] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.099] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.101] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.101] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.103] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.103] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.105] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.106] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.109] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.109] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.112] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.112] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.114] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.114] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.120] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.120] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.122] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.122] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.125] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.125] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.128] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.128] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.132] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.132] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.134] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.135] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.137] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.137] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.139] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.139] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.150] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.150] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.152] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.152] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.154] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.154] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.156] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.156] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.158] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.158] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.159] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.160] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.161] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.161] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.163] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.163] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.166] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.166] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.167] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.168] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.170] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.170] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.181] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.181] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.183] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.183] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.185] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.185] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.187] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.187] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.188] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.188] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.190] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.190] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.201] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.201] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.203] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.203] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.204] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.204] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.206] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.206] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.208] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.208] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.210] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.210] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.211] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.211] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.213] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.213] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.215] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.215] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.216] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.216] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.218] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.218] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.220] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.220] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.231] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
[2017-10-09 12:19:57.231] 292 oss_util.c:366 Open write file fail, filename:d:/zip_download/big.zip
[2017-10-09 12:19:57.233] 292 aos_buf.c:137 apr_file_open failure, code:720005 ¾Ü¾ø·ÃÎÊ¡£  .
